ISO,Names
ABW,"[Aruba,Aruba,Aruba,Aruba,Aruba,Aruba]"
AFG,"[Afghanistan,Afghanistan,Afghanistan,Afghanistan,Islamic State of Afghanistan,Afghanistan]"
AGO,"[Angola,Angola,Angola,Angola,People's Republic of Angola,Angola]"
AIA,"[Anguilla,Anguilla,Anguilla,Anguilla,,Anguilla]"
ALB,"[Albania,Albania,Albania,Albania,Republic of Albania,Albania]"
ALD,"[Aland,Aland,Aland,Aland Islands,Åland Islands,Aland]"
AND,"[Andorra,Andorra,Andorra,Andorra,Principality of Andorra,Andorra]"
ARE,"[United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates]"
ARG,"[Argentina,Argentina,Argentina,Argentina,Argentine Republic,Argentina]"
ARM,"[Armenia,Armenia,Armenia,Armenia,Republic of Armenia,Armenia]"
ASM,"[American Samoa,American Samoa,American Samoa,American Samoa,American Samoa,American Samoa]"
ATG,"[Antigua and Barbuda,Antigua and Barbuda,Antigua and Barb.,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda]"
AUS,"[Australia,Australia,Australia,Australia,Commonwealth of Australia,Australia]"
AUT,"[Austria,Austria,Austria,Austria,Republic of Austria,Austria]"
AZE,"[Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Republic of Azerbaijan,Azerbaijan]"
BDI,"[Burundi,Burundi,Burundi,Burundi,Republic of Burundi,Burundi]"
BEN,"[Benin,Benin,Benin,Benin,Republic of Benin,Benin]"
BFA,"[Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso]"
BGD,"[Bangladesh,Bangladesh,Bangladesh,Bangladesh,People's Republic of Bangladesh,Bangladesh]"
BGR,"[Bulgaria,Bulgaria,Bulgaria,Bulgaria,Republic of Bulgaria,Bulgaria]"
BHR,"[Bahrain,Bahrain,Bahrain,Bahrain,Kingdom of Bahrain,Bahrain]"
BHS,"[The Bahamas,The Bahamas,Bahamas,Bahamas,Commonwealth of the Bahamas,Bahamas, The]"
BIH,"[Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herz.,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina]"
BLM,"[Saint Barthelemy,Saint Barthelemy,St-Barthélemy,Saint-Barthélemy,Saint-Barthélemy,St-Barthélemy]"
BLR,"[Belarus,Belarus,Belarus,Belarus,Republic of Belarus,Belarus]"
BLZ,"[Belize,Belize,Belize,Belize,Belize,Belize]"
BMU,"[Bermuda,Bermuda,Bermuda,Bermuda,The Bermudas or Somers Isles,Bermuda]"
BOL,"[Bolivia,Bolivia,Bolivia,Bolivia,Plurinational State of Bolivia,Bolivia]"
BRA,"[Brazil,Brazil,Brazil,Brazil,Federative Republic of Brazil,Brazil]"
BRB,"[Barbados,Barbados,Barbados,Barbados,Barbados,Barbados]"
BRN,"[Brunei,Brunei,Brunei,Brunei Darussalam,Negara Brunei Darussalam,Brunei]"
BTN,"[Bhutan,Bhutan,Bhutan,Bhutan,Kingdom of Bhutan,Bhutan]"
BWA,"[Botswana,Botswana,Botswana,Botswana,Republic of Botswana,Botswana]"
CAF,"[Central African Republic,Central African Republic,Central African Rep.,Central African Republic,Central African Republic,Central African Republic]"
CAN,"[Canada,Canada,Canada,Canada,Canada,Canada]"
CHE,"[Switzerland,Switzerland,Switzerland,Switzerland,Swiss Confederation,Switzerland]"
CHL,"[Chile,Chile,Chile,Chile,Republic of Chile,Chile]"
CHN,"[China,China,China,China,People's Republic of China,China]"
CIV,"[Ivory Coast,Ivory Coast,Côte d'Ivoire,Côte d'Ivoire,Republic of Ivory Coast,Côte d'Ivoire]"
CMR,"[Cameroon,Cameroon,Cameroon,Cameroon,Republic of Cameroon,Cameroon]"
COD,"[Democratic Republic of the Congo,Democratic Republic of the Congo,Dem. Rep. Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Congo, Dem. Rep.]"
COG,"[Republic of Congo,Republic of Congo,Congo,Republic of Congo,Republic of Congo,Congo, Rep.]"
COK,"[Cook Islands,Cook Islands,Cook Is.,Cook Islands,,Cook Islands]"
COL,"[Colombia,Colombia,Colombia,Colombia,Republic of Colombia,Colombia]"
COM,"[Comoros,Comoros,Comoros,Comoros,Union of the Comoros,Comoros]"
CPV,"[Cape Verde,Cape Verde,Cape Verde,Cape Verde,Republic of Cape Verde,Cape Verde]"
CRI,"[Costa Rica,Costa Rica,Costa Rica,Costa Rica,Republic of Costa Rica,Costa Rica]"
CSI,"[Coral Sea Islands,Coral Sea Islands,Coral Sea Is.,Coral Sea Islands,Coral Sea Islands Territory,Coral Sea Islands]"
CUB,"[Cuba,Cuba,Cuba,Cuba,Republic of Cuba,Cuba]"
CUW,"[Curaçao,Curaçao,Curaçao,Curaçao,Curaçao,Curaçao]"
CYM,"[Cayman Islands,Cayman Islands,Cayman Is.,Cayman Islands,Cayman Islands,Cayman Islands]"
CYN,"[Northern Cyprus,Northern Cyprus,N. Cyprus,Northern Cyprus,Turkish Republic of Northern Cyprus,Cyprus, Northern]"
CYP,"[Cyprus,Cyprus,Cyprus,Cyprus,Republic of Cyprus,Cyprus]"
CZE,"[Czech Republic,Czech Republic,Czech Rep.,Czech Republic,Czech Republic,Czech Republic]"
DEU,"[Germany,Germany,Germany,Germany,Federal Republic of Germany,Germany]"
DJI,"[Djibouti,Djibouti,Djibouti,Djibouti,Republic of Djibouti,Djibouti]"
DMA,"[Dominica,Dominica,Dominica,Dominica,Commonwealth of Dominica,Dominica]"
DNK,"[Denmark,Denmark,Denmark,Denmark,Kingdom of Denmark,Denmark]"
DOM,"[Dominican Republic,Dominican Republic,Dominican Rep.,Dominican Republic,Dominican Republic,Dominican Republic]"
DZA,"[Algeria,Algeria,Algeria,Algeria,People's Democratic Republic of Algeria,Algeria]"
ECU,"[Ecuador,Ecuador,Ecuador,Ecuador,Republic of Ecuador,Ecuador]"
EGY,"[Egypt,Egypt,Egypt,Egypt,Arab Republic of Egypt,Egypt, Arab Rep.]"
ERI,"[Eritrea,Eritrea,Eritrea,Eritrea,State of Eritrea,Eritrea]"
ESP,"[Spain,Spain,Spain,Spain,Kingdom of Spain,Spain]"
EST,"[Estonia,Estonia,Estonia,Estonia,Republic of Estonia,Estonia]"
ETH,"[Ethiopia,Ethiopia,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,Ethiopia]"
FIN,"[Finland,Finland,Finland,Finland,Republic of Finland,Finland]"
FJI,"[Fiji,Fiji,Fiji,Fiji,Republic of Fiji,Fiji]"
FLK,"[Falkland Islands,Falkland Islands,Falkland Is.,Falkland Islands,Falkland Islands,Falkland Islands]"
FRA,"[France,France,France,France,French Republic,France]"
FRO,"[Faroe Islands,Faroe Islands,Faeroe Is.,Faeroe Islands,Føroyar Is. (Faeroe Is.),Faeroe Islands]"
FSM,"[Micronesia,Federated States of Micronesia,Micronesia,Federated States of Micronesia,Federated States of Micronesia,Micronesia, Federated States of]"
GAB,"[Gabon,Gabon,Gabon,Gabon,Gabonese Republic,Gabon]"
GBR,"[United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom]"
GEO,"[Georgia,Georgia,Georgia,Georgia,Georgia,Georgia]"
GGY,"[Guernsey,Guernsey,Guernsey,Guernsey,Bailiwick of Guernsey,Guernsey]"
GHA,"[Ghana,Ghana,Ghana,Ghana,Republic of Ghana,Ghana]"
GIB,"[Gibraltar,Gibraltar,Gibraltar,Gibraltar,,Gibraltar]"
GIN,"[Guinea,Guinea,Guinea,Guinea,Republic of Guinea,Guinea]"
GMB,"[Gambia,Gambia,Gambia,The Gambia,Republic of the Gambia,Gambia, The]"
GNB,"[Guinea Bissau,Guinea Bissau,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,Guinea-Bissau]"
GNQ,"[Equatorial Guinea,Equatorial Guinea,Eq. Guinea,Equatorial Guinea,Republic of Equatorial Guinea,Equatorial Guinea]"
GRC,"[Greece,Greece,Greece,Greece,Hellenic Republic,Greece]"
GRD,"[Grenada,Grenada,Grenada,Grenada,Grenada,Grenada]"
GRL,"[Greenland,Greenland,Greenland,Greenland,Greenland,Greenland]"
GTM,"[Guatemala,Guatemala,Guatemala,Guatemala,Republic of Guatemala,Guatemala]"
GUM,"[Guam,Guam,Guam,Guam,Territory of Guam,Guam]"
GUY,"[Guyana,Guyana,Guyana,Guyana,Co-operative Republic of Guyana,Guyana]"
HKG,"[Hong Kong S.A.R.,Hong Kong S.A.R.,Hong Kong,Hong Kong,Hong Kong Special Administrative Region, PRC,Hong Kong SAR, China]"
HND,"[Honduras,Honduras,Honduras,Honduras,Republic of Honduras,Honduras]"
HRV,"[Croatia,Croatia,Croatia,Croatia,Republic of Croatia,Croatia]"
HTI,"[Haiti,Haiti,Haiti,Haiti,Republic of Haiti,Haiti]"
HUN,"[Hungary,Hungary,Hungary,Hungary,Republic of Hungary,Hungary]"
IDN,"[Indonesia,Indonesia,Indonesia,Indonesia,Republic of Indonesia,Indonesia]"
IND,"[India,India,India,India,Republic of India,India]"
IOA,"[Indian Ocean Territories,Indian Ocean Territories,Indian Ocean Ter.,Indian Ocean Territories,,Indian Ocean Territories]"
IOT,"[British Indian Ocean Territory,British Indian Ocean Territory,Br. Indian Ocean Ter.,British Indian Ocean Territory,,British Indian Ocean Territory]"
IRL,"[Ireland,Ireland,Ireland,Ireland,Ireland,Ireland]"
IRN,"[Iran,Iran,Iran,Iran,Islamic Republic of Iran,Iran, Islamic Rep.]"
IRQ,"[Iraq,Iraq,Iraq,Iraq,Republic of Iraq,Iraq]"
ISL,"[Iceland,Iceland,Iceland,Iceland,Republic of Iceland,Iceland]"
ISR,"[Israel,Israel,Israel,Israel,State of Israel,Israel]"
ITA,"[Italy,Italy,Italy,Italy,Italian Republic,Italy]"
JAM,"[Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica]"
JEY,"[Jersey,Jersey,Jersey,Jersey,Bailiwick of Jersey,Jersey]"
JOR,"[Jordan,Jordan,Jordan,Jordan,Hashemite Kingdom of Jordan,Jordan]"
JPN,"[Japan,Japan,Japan,Japan,Japan,Japan]"
KAB,"[Baykonur Cosmodrome,Baykonur Cosmodrome,Baikonur,Baikonur Cosmodrome,,Baikonur Cosmodrome]"
KAZ,"[Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Republic of Kazakhstan,Kazakhstan]"
KEN,"[Kenya,Kenya,Kenya,Kenya,Republic of Kenya,Kenya]"
KGZ,"[Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic,Kyrgyz Republic]"
